label,variable,distribution,lower,median,upper,description
Discount rate (%),discount_rate,posnorm,5,,10,Discount Rate
FFB Price Mature (EUR/ton),FFB_price_mature,posnorm,125,,225,Mature Fresh Fruit Bunch Price
FFB Price Immature (EUR/ton),FFB_price_immature,posnorm,50,,125,Immature Fresh Fruit Bunch Price
Maximum Harvest (Yield/ha.year),max_palm_harvest,posnorm,20,,35,Maximum Palm Estimation Yield
time to reach immature palm estimation years,immature_palm_est,const,4,,4,Time To reach Immature (First Yield)
time to reach mature palm estimation years,mature_palm_est,const,7,,7,Time To reach Mature (First Yield)
Establishment Cost (EUR/ha),establishment_cost_non_tcl,posnorm,878,,1078,Establishment Cost
Establishment Cost TCL (EUR/ha),establishment_cost_tcl,posnorm,978,,1178,Establishment Cost Extra Land Clearing Cost
Tax (EUR/ha),land_tax,posnorm,2,,3.5,Land Tax per year
Maintenance Cost Mature (EUR/ha),maintenance_cost,posnorm,500,,2000,Maintenance Cost during Mature Phase
Maintenance Cost Mature (EUR/ha),maintenance_cost_im,posnorm,150,,600,Maintenance Cost during Immature Phase
Transportation Cost (EUR/ha),transportation_cost,posnorm,500,,1000,Transportation to bring to market
Harvesting Cost (EUR/ha),harvesting_cost,posnorm,200,,400,Harvesting Cost (Labour)
Certification Cost (EUR/ha),certification_cost,posnorm,87,,263,RSPO Certification
Environmental Cost Tree Cover (EUR/ha),environmental_cost_tcl,posnorm,500,,2000,Environmental Cost Based on Total Environmental Services Loss
var_CV,var_CV,const,20,,20,-
Project time horizon (years),n_years,const,25,,25,Palm Oil Lifespan
Palm Oil Yield Mature (percent),mature_palm_yield_est,posnorm,50,,70,Percentation Mature Yield
Palm Oil Yield Immature (percent),immature_palm_yield_est,posnorm,10,,50,Percentation Immature Yield
var_land,var_land,const,0,,0,variation land tax
var_transport,var_transport,const,0,,0,variation transport cost
var_harvest,var_harvest,const,0,,0,variation harvest cost
var_certification,var_certification,const,0,,0,variation certification cost
var_maintenance,var_maintenance,const,12,,12,variation maintenance cost
var_FFB,var_FFB,const,48,,48,variation FFB Price
